name,state,population,latitude,longitude,display_photo
Cleveland,Ohio,396815,41.4994954,-81.6954088,upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Cleveland_From_The_Lake.jpg/320px-Cleveland_From_The_Lake.jpg
Tulsa,Oklahoma,391906,36.1539816,-95.992775,upload.wikimedia.org/wikipedia/commons/thumb/4/47/Tulsa%2C_Oklahoma.jpg/320px-Tulsa%2C_Oklahoma.jpg
Oakland,California,390724,37.8043637,-122.2711137,upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Oaklandatnight02192006.JPG/320px-Oaklandatnight02192006.JPG
Minneapolis,Minnesota,382578,44.983334,-93.26667,upload.wikimedia.org/wikipedia/commons/thumb/e/ea/MinneapolisSkyline.jpg/320px-MinneapolisSkyline.jpg
Wichita,Kansas,382368,37.6888889,-97.3361111,upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Wichita-ks.jpg/320px-Wichita-ks.jpg
Arlington,Texas,365438,32.735687,-97.1080656,upload.wikimedia.org/wikipedia/commons/thumb/7/77/Cowboys-Stadium-Night.jpg/320px-Cowboys-Stadium-Night.jpg
Bakersfield,California,347483,35.3732921,-119.0187125,http://pics2.city-data.com/picthumb/thumbv23165.jpg
New Orleans,Louisiana,343829,29.9510658,-90.0715323,http://pics2.city-data.com/picthumbc/thumbc47243.jpg
Honolulu ,Hawaii,337256,21.3069444,-157.8583333,http://pics2.city-data.com/picthumbc/thumbc44338.jpg
Anaheim,California,336265,33.8352932,-117.9145036,http://pics2.city-data.com/picthumbc/thumbc47387.jpg
Tampa,Florida,335709,27.950575,-82.4571776,http://pics2.city-data.com/picthumb/thumbv9994.jpg
Aurora,Colorado,325078,39.7294319,-104.8319195,http://pics2.city-data.com/picthumbc/thumbc999.jpg
Santa Ana,California,324528,33.7455731,-117.8678338,http://pics2.city-data.com/picthumbc/thumbc18617.jpg
St. Louis,Missouri,319294,38.6270025,-90.1994042,http://pics2.city-data.com/picthumb/thumbv21508.jpg
Pittsburgh,Pennsylvania,305704,40.4406248,-79.9958864,http://pics2.city-data.com/picthumbc/thumbc47600.jpg
Corpus Christi,Texas,305215,27.8005828,-97.396381,http://pics2.city-data.com/picthumb/thumbv29668.jpg
Riverside,California,303871,33.9533487,-117.3961564,http://pics2.city-data.com/picthumbc/thumbc49373.jpg
Cincinnati,Ohio,296943,39.1031182,-84.5120196,http://pics2.city-data.com/picthumbc/thumbc46653.jpg
Lexington,Kentucky,295803,38.0405837,-84.5037164,http://pics2.city-data.com/picthumb/thumbv32695.jpg
Anchorage,Alaska,291826,61.2180556,-149.9002778,http://pics2.city-data.com/picthumb/thumbv213.jpg
Stockton,California,291707,37.9577016,-121.2907796,http://pics2.city-data.com/picthumbc/thumbc17963.jpg
Toledo,Ohio,287208,41.6639383,-83.555212,http://pics2.city-data.com/picthumb/thumbv14572.jpg
St. Paul,Minnesota,285068,44.9537029,-93.0899578,http://pics2.city-data.com/picthumb/thumbv8726.jpg
Newark,New Jersey,277140,40.735657,-74.1723667,http://pics2.city-data.com/picthumbc/thumbc796.jpg
Greensboro,North Carolina,269666,36.0726354,-79.7919754,http://pics2.city-data.com/picthumbc/thumbc21721.jpg
Buffalo,New York,261310,42.8864468,-78.8783689,http://pics2.city-data.com/picthumbc/thumbc37356.jpg
Plano,Texas,259841,33.0198431,-96.6988856,http://pics2.city-data.com/picthumb/thumbv18035.jpg
Lincoln,Nebraska,258379,40.806862,-96.681679,http://pics2.city-data.com/picthumbc/thumbc40475.jpg
Henderson,Nevada,257729,36.0395247,-114.9817213,http://pics2.city-data.com/picthumb/thumbv20628.jpg
Fort Wayne,Indiana,253691,41.079273,-85.1393513,http://pics2.city-data.com/picthumbc/thumbc26114.jpg
Jersey City,New Jersey,247597,40.7281575,-74.0776417,http://pics2.city-data.com/picthumbc/thumbc49374.jpg
St. Petersburg,Florida,244769,27.7730556,-82.64,http://pics2.city-data.com/picthumbc/thumbc18206.jpg
Chula Vista,California,243916,32.6400541,-117.0841955,http://pics2.city-data.com/picthumbc/thumbc46744.jpg
Norfolk,Virginia,242803,36.8507689,-76.2858726,http://pics2.city-data.com/picthumbc/thumbc33923.jpg
Orlando,Florida,238300,28.5383355,-81.3792365,http://pics2.city-data.com/picthumb/thumbv29314.jpg
Chandler,Arizona,236123,33.3061605,-111.8412502,http://pics2.city-data.com/picthumbc/thumbc19304.jpg
Laredo,Texas,236091,27.506407,-99.5075421,http://pics2.city-data.com/picthumb/thumbv11070.jpg
Madison,Wisconsin,233209,43.0730517,-89.4012302,http://pics2.city-data.com/picthumbc/thumbc33284.jpg
Winston-Salem,North Carolina,229617,36.0998596,-80.244216,http://pics2.city-data.com/picthumbc/thumbc41650.jpg
Lubbock,Texas,229573,33.5778631,-101.8551665,http://pics2.city-data.com/picthumb/thumbv17102.jpg
Baton Rouge,Louisiana,229493,30.4582829,-91.1403196,http://pics2.city-data.com/picthumb/thumbv32971.jpg
Durham,North Carolina,228330,35.9940329,-78.898619,http://pics2.city-data.com/picthumb/thumbv24630.jpg
Garland,Texas,226876,32.912624,-96.6388833,http://pics3.city-data.com/images/pcr.png
Glendale,Arizona,226721,33.5386523,-112.1859866,http://pics2.city-data.com/picthumb/thumbv25899.jpg
Reno,Nevada,225221,39.5296329,-119.8138027,http://pics2.city-data.com/picthumb/thumbv29850.jpg
Hialeah,Florida,224669,25.8575963,-80.2781057,http://pics2.city-data.com/picthumbc/thumbc29730.jpg
Chesapeake,Virginia,222209,36.7682088,-76.2874927,http://pics2.city-data.com/picthumbc/thumbc74854.jpg
Scottsdale,Arizona,217385,33.4941704,-111.9260519,http://pics2.city-data.com/picthumbc/thumbc43165.jpg
North Las Vegas,Nevada,216961,36.1988592,-115.1175013,http://pics2.city-data.com/picthumb/thumbv31374.jpg
Irving,Texas,216290,32.8140177,-96.9488945,http://pics2.city-data.com/picthumb/thumbv29569.jpg
Fremont,California,214089,37.5482697,-121.9885719,http://pics2.city-data.com/picthumbc/thumbc27548.jpg
Irvine,California,212375,33.6839473,-117.7946942,http://pics2.city-data.com/picthumbc/thumbc5428.jpg
Birmingham,Alabama,212237,33.5206608,-86.80249,http://pics2.city-data.com/picthumb/thumbv32509.jpg
Rochester,New York,210565,43.16103,-77.6109219,http://pics2.city-data.com/picthumbc/thumbc38191.jpg
San Bernardino,California,209924,34.1083449,-117.2897652,http://pics2.city-data.com/picthumb/thumbv31381.jpg
Spokane,Washington,208916,47.6587802,-117.4260466,http://pics2.city-data.com/picthumbc/thumbc23605.jpg
